id,ime,datum_sprejema,datum_oddaje,spol,felvfiv,tip
1762,Prevc,29/12/2015,04/03/2016,Moški,,pes
1763,FridainFrey,11/11/2015,02/03/2016,Ženski in moški,,pes
1764,Oli,25/01/2016,29/02/2016,Moški,,pes
1765,Toby,28/12/2015,24/02/2016,Moški,,pes
1766,Nanos,01/01/2016,24/02/2016,Moški,,pes
1767,Booster,16/01/2016,24/02/2016,Moški,,pes
1768,Bella,19/01/2016,23/02/2016,Ženski,,pes
1769,Oskar,,23/02/2016,Moški,,pes
1770,Pajo,17/12/2015,22/02/2016,Moški,,pes
1771,Lili,01/01/2016,17/02/2016,Ženski,,pes
1772,Brči,24/01/2016,17/02/2016,Moški,,pes
1773,Dita,29/09/2015,15/02/2016,Ženski,,pes
1774,Spencer,19/11/2015,05/02/2016,Moški,,pes
1775,Nubi,09/10/2015,03/02/2016,Ženski,,pes
1776,Pes-Kamnik,09/07/2015,x,Moški,,pes
1777,Buddy,19/11/2015,27/01/2016,Moški,,pes
1778,Megi,19/11/2015,27/01/2016,Ženski,,pes
1779,Daisy,19/11/2015,15/01/2016,Ženski,,pes
1780,Bizzo,24/08/2015,13/01/2016,Moški,,pes
1781,Alka,16/10/2015,13/01/2016,Ženski,,pes
1782,Lotta,16/10/2015,13/01/2016,Ženski,,pes
1783,Puma,16/10/2015,13/01/2016,Ženski,,pes
1784,Fila,16/10/2015,13/01/2016,Ženski,,pes
1785,Valdi,09/10/2015,09/01/2016,Moški,,pes
1786,Starkuža-Logatec,,09/01/2016,Moški,,pes
1787,Axel,,28/10/2016,Moški,,muc
1788,Oxy,21/09/2015,24/09/2016,Ženski,Negativna,muc
1789,Stanči,13/01/2016,23/05/2016,Moški,Negativen,muc
1790,Plusek,06/05/2016,23/05/2016,Moški,FeLV pozitiven,muc
1791,Lumpi,18/08/2015,08/04/2016,Moški,Negativen,muc
1792,Jazzy,,02/04/2016,Ženski,,muc
1793,Keiko,,02/04/2016,Ženski,Negativna,muc
1794,Gali,,02/04/2016,,,muc
1795,Ali,25/07/2015,14/03/2016,Moški,Negativen,muc
1796,Ladybug,,14/03/2016,,Pozitivna,muc
1797,Max,30/08/2015,12/03/2016,Moški,Negativen,muc
1798,Kay,,05/03/2016,,,muc
1799,Odraslamuca,,05/03/2016,Ženski,,muc
1800,Jin,,17/02/2016,,,muc
1801,Brč,,,Moški,Negativen,muc
1802,Elu,,09/02/2016,,,muc
1803,Elsa,,09/02/2016,Ženski,,muc
1804,Jeff,,09/02/2016,Moški,,muc
1805,Thai,,09/02/2016,,,muc
1806,Joy,,01/02/2016,,,muc
1807,Lee,,01/02/2016,,,muc
1808,Samčka-Domžale,15/07/2015,x,2x moški,Negativna,muc
1809,Jiger,,11/01/2016,Moški,Negativen,muc
1810,Gilly,,11/01/2016,Ženski,Negativna,muc
1811,Patty,03/06/2015,11/01/2016,Ženski,Negativna,muc
1812,Latte,,11/01/2016,Ženski,Negativna,muc
1813,Čokočino,,11/01/2016,,Negativen,muc
1814,Gara,06/07/2015,22/12/2015,Ženski,,pes
1815,Brina,,22/12/2015,Ženski,,pes
1816,Rascal,09/12/2015,x,Moški,,pes
1817,SeniorkaBela,26/07/2015,x,Ženski,,pes
1818,Kiki,15/10/2015,25/11/2015,Ženski,,pes
1819,Yurgi,25/10/2015,25/11/2015,Moški,,pes
1820,Gizmo,20/07/2015,17/11/2015,Moški,,pes
1821,Breza,15/09/2015,12/11/2015,Ženski,,pes
1822,Tigrastiminič,21/09/2015,29/10/2015,Moški,,pes
1823,Clay,22/09/2015,22/12/2015,Moški,Negativen,muc
1824,Miniji,15/07/2015,x,,Negativni,muc
1825,Muca-Log-Dragomer,04/06/2015,x,Ženski,Negativna,muc
1826,KuKu-jčki,14/07/2015,x,,,muc
1827,Sarita,07/07/2015,x,Ženski,,muc
1828,DružinaTiger,25/06/2015,x,,,muc
1829,Mamaintrijemali,16/06/2015,x,,,muc
1830,Černej,02/06/2015,x,Moški,,muc
1831,TigArrr,02/06/2015,x,Moški,Negativen,muc
1832,Suši,23/06/2015,03/11/2015,Moški,,muc
1833,Dobrova,15/07/2015,x,,,muc
1834,Poškodovanamuca,08/07/2015,x,Ženski,,muc
1835,Gara,06/07/2015,22/12/2015,Ženski,,pes
1836,Brina,,22/12/2015,Ženski,,pes
1837,Rascal,09/12/2015,x,Moški,,pes
1838,SeniorkaBela,26/07/2015,x,Ženski,,pes
1839,Kiki,15/10/2015,25/11/2015,Ženski,,pes
1840,Yurgi,25/10/2015,25/11/2015,Moški,,pes
1841,Gizmo,20/07/2015,17/11/2015,Moški,,pes
1842,Breza,15/09/2015,12/11/2015,Ženski,,pes
1843,Tigrastiminič,21/09/2015,29/10/2015,Moški,,pes
1844,Clay,22/09/2015,22/12/2015,Moški,Negativen,muc
1845,Miniji,15/07/2015,x,,Negativni,muc
1846,Muca-Log-Dragomer,04/06/2015,x,Ženski,Negativna,muc
1847,KuKu-jčki,14/07/2015,x,,,muc
1848,Sarita,07/07/2015,x,Ženski,,muc
1849,DružinaTiger,25/06/2015,x,,,muc
1850,Mamaintrijemali,16/06/2015,x,,,muc
1851,Černej,02/06/2015,x,Moški,,muc
1852,TigArrr,02/06/2015,x,Moški,Negativen,muc
1853,Suši,23/06/2015,03/11/2015,Moški,,muc
1854,Dobrova,15/07/2015,x,,,muc
1855,Poškodovanamuca,08/07/2015,x,Ženski,,muc
1856,Nala,14/08/2015,23/09/2015,Ženski,,pes
1857,Lava,24/08/2015,14/09/2015,Ženski,,pes
1858,Lucky,24/06/2015,12/09/2015,Moški,,pes
1859,Kala,19/06/2015,09/09/2015,Ženski,,pes
1860,Boro,09/08/2015,07/09/2015,Moški,,pes
1861,Džusko,24/06/2015,07/09/2015,Moški,,pes
1862,Kroks,24/08/2015,04/09/2015,Moški,,pes
1863,AiredaleterierkaLuci,28/08/2015,04/09/2015,Ženski,,pes
1864,Sultan,18/08/2015,31/08/2015,Moški,,pes
1865,Bunka,08/07/2015,x,Ženski,,pes
1866,Filip,09/07/2015,13/08/2015,Moški,,pes
1867,Dex,16/06/2015,27/07/2015,Moški,,pes
1868,Minič,08/07/2015,27/07/2015,Moški,,pes
1869,Mihi,04/06/2015,,Moški,Negativen,muc
1870,Illy,12/06/2015,31/08/2015,Moški,Negativen,muc
1871,Domžalskirevež,07/07/2015,17/08/2015,Moški,Negativen,muc
1872,ČBinČB-jka,10/07/2015,x,Ženski in moški,,muc
1873,Ilirskobistriškipušeljc,25/06/2015,x,,,muc
1874,Domžalskačrnuhica,10/07/2015,13/08/2015,Ženski,,muc
1875,Grintica,04/07/2015,13/08/2015,Ženski,,muc
1876,Muca-Kamnik,08/07/2015,12/08/2015,Ženski,,muc
1877,Spidi-D-Look,02/06/2015,07/08/2015,Ženski,,muc
1878,Mulo,03/07/2015,07/08/2015,Moški,,muc
1879,Tiger,28/06/2015,x,Moški,,muc
1880,Mačka-Logatec,04/06/2015,x,Ženski,,muc
1881,Nala,14/08/2015,23/09/2015,Ženski,,pes
1882,Lava,24/08/2015,14/09/2015,Ženski,,pes
1883,Lucky,24/06/2015,12/09/2015,Moški,,pes
1884,Kala,19/06/2015,09/09/2015,Ženski,,pes
1885,Boro,09/08/2015,07/09/2015,Moški,,pes
1886,Džusko,24/06/2015,07/09/2015,Moški,,pes
1887,Kroks,24/08/2015,04/09/2015,Moški,,pes
1888,AiredaleterierkaLuci,28/08/2015,04/09/2015,Ženski,,pes
1889,Sultan,18/08/2015,31/08/2015,Moški,,pes
1890,Bunka,08/07/2015,x,Ženski,,pes
1891,Filip,09/07/2015,13/08/2015,Moški,,pes
1892,Dex,16/06/2015,27/07/2015,Moški,,pes
1893,Minič,08/07/2015,27/07/2015,Moški,,pes
1894,Mihi,04/06/2015,,Moški,Negativen,muc
1895,Illy,12/06/2015,31/08/2015,Moški,Negativen,muc
1896,Domžalskirevež,07/07/2015,17/08/2015,Moški,Negativen,muc
1897,ČBinČB-jka,10/07/2015,x,Ženski in moški,,muc
1898,Ilirskobistriškipušeljc,25/06/2015,x,,,muc
1899,Domžalskačrnuhica,10/07/2015,13/08/2015,Ženski,,muc
1900,Grintica,04/07/2015,13/08/2015,Ženski,,muc
1901,Muca-Kamnik,08/07/2015,12/08/2015,Ženski,,muc
1902,Spidi-D-Look,02/06/2015,07/08/2015,Ženski,,muc
1903,Mulo,03/07/2015,07/08/2015,Moški,,muc
1904,Tiger,28/06/2015,x,Moški,,muc
1905,Mačka-Logatec,04/06/2015,x,Ženski,,muc
1906,Muc-Logatec,23/06/2015,x,Moški,,muc
1907,Senior,08/06/2015,x,Moški,,muc
1908,Logaškimuc,02/06/2015,x,Moški,,muc
1909,Muc-Logatec,23/06/2015,x,Moški,,muc
1910,Senior,08/06/2015,x,Moški,,muc
1911,Logaškimuc,02/06/2015,x,Moški,,muc
1912,Mucazmladički,12/05/2014,x,Ženski,,muc
1913,Mucazmladički,12/05/2014,x,Ženski,,muc
